index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
134,Paraguay,40758,5785.676171624976,857,121.6527915766869,2.102654693557093,24449,3470.5823818651315,59.98576966485108,15452.0,2193.4409981831573,269710.0,38285.85112736082,15.111786733899374,7044639
135,Philippines,311694,2882.9424581911185,5504,50.90799081754515,1.7658344401881334,253488,2344.5793561696737,81.3259158020366,52702.0,487.4551112038998,3497189.0,32346.450853782684,8.9127010293124,108116622
136,Poland,91514,2415.396778026345,2513,66.32747014861339,2.7460279301527635,69695,1839.511751694234,76.15774635574884,19306.0,509.5575561834978,3197636.0,84397.57514370534,2.8619267483853696,37887771
137,Portugal,75542,7387.119606171533,1971,192.74063095713763,2.6091445818220325,48530,4745.663531379954,64.24240819676471,25041.0,2448.715443834441,2501955.0,244661.7885978515,3.0193188926259666,10226178
138,Qatar,125760,44405.666383363976,214,75.56307733810345,0.17016539440203562,122699,43324.83189863531,97.56599872773538,2847.0,1005.2714073905634,775914.0,273974.0635033514,16.207981812417355,2832071
139,Romania,127572,6587.911792254696,4825,249.1665443641936,3.782177907377794,102476,5291.93591715339,80.32797165522216,20271.0,1046.8093307371128,2419691.0,124954.62070448497,5.272243439348247,19364558
140,Rwanda,4840,383.30749703530654,29,2.2966771516578284,0.5991735537190083,3154,249.78343918375143,65.16528925619835,1657.0,131.2273806998973,490225.0,38823.74333349858,0.9873017491967975,12626938
141,Saint Kitts and Nevis,19,359.61691335125107,0,0.0,0.0,17,321.76250141954046,89.47368421052632,2.0,37.854411931710644,0,0,0,52834
142,Saint Lucia,27,147.706447112886,0,0.0,0.0,27,147.706447112886,100.0,0.0,0.0,0,0,0,182795
143,Saint Vincent and the Grenadines,64,578.6984709701337,0,0.0,0.0,64,578.6984709701337,100.0,0.0,0.0,0,0,0,110593
144,San Marino,732,21615.87526576896,42,1240.2551381998583,5.737704918032787,680,20080.321285140562,92.89617486338798,10.0,295.2988424285377,0,0,0,33864
145,Sao Tome and Principe,911,4236.263531862654,15,69.75186935009859,1.646542261251372,886,4120.010416279157,97.25576289791438,10.0,46.50124623339906,0,0,0,215048
146,Saudi Arabia,334605,9764.206686549049,4768,139.13640705149615,1.424963763243227,319154,9313.326521835821,95.38231646269482,10683.0,311.74375766173097,6491493.0,189430.1620008259,5.15451530179575,34268529
147,Senegal,14982,919.3462933628991,311,19.08401396581642,2.075824322520358,12437,763.1764684657841,83.0129488719797,2234.0,137.08581093129868,185355.0,11374.010960237629,8.082868010034797,16296362
148,Serbia,33551,3824.683991341766,749,85.38309765774441,2.2324222824953055,0,0.0,0.0,32802.0,3739.300893684022,1127678.0,128550.92229704927,2.975228744375611,8772228
149,Seychelles,144,1473.2814274460054,0,0.0,0.0,140,1432.356943350283,97.22222222222221,4.0,40.92448409572237,0,0,0,97741
150,Sierra Leone,2231,285.54215957672693,72,9.215166064331841,3.227252353204841,1687,215.91646042399745,75.61631555356342,472.0,60.41053308839763,0,0,0,7813207
151,Singapore,57765,9952.030746632307,27,4.6516892609551155,0.046741106206180216,57488,9904.307860510655,99.52047087336624,250.0,43.071196860695515,957771.0,165009.37315386083,6.031191172002493,5804343
152,Slovakia,10141,1858.342990632969,48,8.79602243865324,0.47332610196233116,4395,805.3858045391875,43.338921210925946,5698.0,1044.1611636551286,467021.0,85581.81656921408,2.1714226983369054,5457012
153,Slovenia,5690,2737.3483032770246,150,72.16208180870892,2.6362038664323375,3804,1830.030394668858,66.85413005272409,1736.0,835.1558267994578,227029.0,109219.2351396625,2.506287742975567,2078654
154,Somalia,3588,232.33969047017445,99,6.410710523006486,2.7591973244147154,2946,190.7672040482536,82.10702341137124,543.0,35.161775898914364,0,0,0,15442906
155,South Africa,674339,11515.692566516696,16734,285.76665357941687,2.4815411832920833,608112,10384.73355094337,90.17897526318364,49493.0,845.1923619939095,4187917.0,71517.0925396409,16.102014438204005,58558267
156,South Sudan,2704,244.43790761874268,49,4.429533089244967,1.8121301775147929,1290,116.61423847195934,47.70710059171598,1365.0,123.39413605753838,0,0,0,11062114
